Name,Brand,Selling Price,MRP,Discount,Ratings,No_of_ratings,Details
PHILIPS 6800 Series 80 cm (32 inch) HD Ready LED Smart Linux based TV,PHILIPS,15999,24990,35% off,4.1,111 Ratings & 17 Reviews,['Operating System: Linux based' 'HD Ready 1366 x 768 Pixels' '2 Years Warranty Provided By the Manufacturer Upon Date of Purchase']
Blaupunkt Cyber Sound 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos & Dolby Vis...,Blaupunkt,49999,75999,34% off,4.6,4750 Ratings & 1206 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
Hisense 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with 102W JBL 6 Speakers Dolby Vision and ...,Hisense,42990,69990,38% off,4.3,71 Ratings & 13 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Years Warranty on Product and Panel']
Compaq 108 cm (43 inch) Full HD LED Smart Android TV,Compaq,18999,32999,42% off,4.3,430 Ratings & 89 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product']
Thomson 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Vision & Dolby Atmos,Thomson,40999,59999,31% off,4.6,1077 Ratings & 298 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months Warranty on Accessories']
Blaupunkt Cybersound 80 cm (32 inch) HD Ready LED Smart Android TV with 40W Speaker,Blaupunkt,9999,19499,48% off,4.4,10127 Ratings & 2294 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
MOTOROLA Revou 2 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,MOTOROLA,24999,39000,35% off,4.3,1409 Ratings & 207 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
Nokia 109 cm (43 inch) Full HD LED Smart Android TV,Nokia,22999,34000,32% off,4.3,1604 Ratings & 277 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product']
Nokia 80 cm (32 inch) HD Ready LED Smart Android TV,Nokia,13999,20000,30% off,4.3,1604 Ratings & 277 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product']
SONY BRAVIA 80 cm (32 inch) HD Ready LED Smart Linux based TV,SONY,23999,29900,19% off,4.6,4478 Ratings & 763 Reviews,"['Operating System: Linux based' 'HD Ready 1366 x 768 Pixels' ""1 year Comprehensive warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service.""]"
Nokia 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,Nokia,29999,50000,40% off,4.3,1463 Ratings & 203 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
KODAK CA PRO 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & Dolby Digital Plus,KODAK,26999,46499,41% off,4.5,19605 Ratings & 5819 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
LG 81.28 cm (32 inch) Full HD LED Smart TV,LG,22050,31490,29% off,4.8,4 Ratings & 0 Reviews,['Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product']
Thomson OATHPRO Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & D...,Thomson,26999,40999,34% off,4.5,28566 Ratings & 7417 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
Candes 81 cm (32 inch) HD Ready LED Smart Android TV,Candes,9490,27690,65% off,4,222 Ratings & 44 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Candes Domestic Warranty']
Thomson OATHPRO Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & D...,Thomson,30999,49999,38% off,4.5,28566 Ratings & 7417 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
SAMSUNG Crystal 4K 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV,SAMSUNG,43990,68400,35% off,4.3,11689 Ratings & 1193 Reviews,['Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
Hisense A4G Series 108 cm (43 inch) Full HD LED Smart Android TV with DTS Virtual X,Hisense,22990,34990,34% off,4.1,153 Ratings & 27 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '2 Years Comprehensive Warranty']
Nokia 127 cm (50 inch) Ultra HD 4K LED Smart Android TV with Sound by Onkyo and Dolby Atmos,Nokia,32999,54990,39% off,4.4,2228 Ratings & 360 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
TOSHIBA U50 Series 126 cm (50 inch) Ultra HD (4K) LED Smart VIDAA TV with Dolby Vision & ATMOS,TOSHIBA,27999,46990,40% off,4.3,1129 Ratings & 168 Reviews,['Operating System: VIDAA' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty']
KODAK CA PRO 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & Dolby Digital Plus,KODAK,23999,39999,40% off,4.5,19605 Ratings & 5819 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
realme 108 cm (43 inch) Full HD LED Smart Android TV,realme,21999,27999,21% off,4.3,237671 Ratings & 26878 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Domestic Warranty 2 Years on Panel']
Compaq 102 cm (40 inch) Full HD LED Smart Android TV,Compaq,15999,29999,46% off,4.3,157 Ratings & 37 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product']
acer I Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Android 11 30W Dolby Audio ME...,acer,33999,47990,29% off,4.3,1100 Ratings & 194 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Years Warranty']
LG 81.28 cm (32 inch) Full HD LED Smart WebOS TV,LG,15990,29990,46% off,4.2,43 Ratings & 5 Reviews,['Operating System: WebOS' 'Full HD HD 1366 x768 Pixels' '1 Year Comprehensive Warranty and Additional 1 Year Warranty applicable on Panel Only']
Candes 81 cm (32 inch) HD Ready LED Smart Android TV,Candes,8749,24490,64% off,4,1464 Ratings & 283 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Candes Domestic Warranty']
SAMSUNG The Frame 2021 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV,SAMSUNG,64990,119900,45% off,4.2,1379 Ratings & 179 Reviews,['Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year comprehensive warranty and 1 year additional on Panel.']
Candes Frameless 81 cm (32 inch) HD Ready LED TV,Candes,7690,22690,66% off,4,365 Ratings & 53 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Candes Domestic Warranty']
Coocaa Frameless 138 cm (55 inch) Ultra HD (4K) LED Smart Google TV with HDR 11 Dolby Audio and Eye ca...,Coocaa,35999,89999,60% off,4.3,53 Ratings & 14 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
Nokia 140 cm (55 inch) Ultra HD 4K QLED Smart Android TV with Sound by JBL and Powered by Harman Audio...,Nokia,52249,79999,34% off,4.3,2563 Ratings & 426 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
MOTOROLA Revou 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,MOTOROLA,32999,49999,34% off,4.5,1114 Ratings & 164 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 ï¿½ 2160 Pixels' '1 Year Warranty on Product']
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV with 20W Powerful Audio & Bezel-le...,Mi,16499,19999,17% off,4.3,37571 Ratings & 3302 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year on Product and 2 Years for Panel']
KODAK CA Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,KODAK,24999,42999,41% off,4.5,19605 Ratings & 5819 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840X2160 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
SAMSUNG 7 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,SAMSUNG,35490,54900,35% off,4.3,15 Ratings & 0 Reviews,['Netflix|Disney+Hotstar|Youtube' 'Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '20 W Speaker Output' '60 Hz Refresh Rate' '3 x HDMI | 1 x USB' '1 Year Comprehensive Warranty on Product.']
Hyundai 80 cm (32 inch) HD Ready LED Smart Android Based TV,Hyundai,11990,22990,47% off,4.5,161 Ratings & 33 Reviews,['Operating System: Android Based' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product and 6 Months on Remote']
LG 164 cm (65 inch) OLED Ultra HD (4K) Smart WebOS TV,LG,159999,224990,28% off,4.1,175 Ratings & 35 Reviews,['Operating System: WebOS' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']
Coocaa 106 cm (42 inch) Full HD LED Smart Android TV with HDR 10 and Dolby Audio,Coocaa,17999,48990,63% off,4.3,975 Ratings & 184 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Domestic Warranty on Product']
LG UQ8020 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,LG,52990,84990,37% off,4.5,1788 Ratings & 249 Reviews,['Operating System: WebOS' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']
Compaq 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Compaq,25999,43999,40% off,4.3,430 Ratings & 89 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
Mi 4C 80 cm (32 inch) HD Ready LED Smart Android TV,Mi,16499,19999,17% off,4.3,6284 Ratings & 472 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty and 2 Years for Panel']
LG 108 cm (43 inch) Full HD LED Smart WebOS TV,LG,32999,51990,36% off,4.2,113 Ratings & 16 Reviews,['Operating System: WebOS' 'Full HD 1920 x 1080 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']
SAMSUNG BU8000B 109.22 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,SAMSUNG,41680,62900,33% off,5,6 Ratings & 2 Reviews,['Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
Vu Premium 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Vu,35999,75000,52% off,4.4,12029 Ratings & 1690 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year']
acer Frameless 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with 30W Soundbar | upgradable to A...,acer,25999,34990,25% off,4.4,6828 Ratings & 1154 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty']
InnoQ Super Bright 62 cm (24 inch) HD Ready LED TV with With Pixel Boost Engine & Thunder Audio Speake...,InnoQ,5190,17990,71% off,3.9,2688 Ratings & 432 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Limited Domestic Warranty']
TCL C825 164 cm (65 inch) QLED Ultra HD (4K) Smart Android TV (Graphite Grey) (2021 Model) | Mini LED ...,TCL,109990,299990,63% off,5,14 Ratings & 1 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Year Product Warranty']
Coocaa Frameless 80 cm (32 inch) HD Ready LED Smart Google TV with HDR 13 Dolby Audio and Eye care tec...,Coocaa,10999,27990,60% off,4.5,59 Ratings & 20 Reviews,['Operating System: Google TV' 'HD Ready 1366 x 768 Pixels' '1 Year Domestic Warranty']
Coocaa 108 cm (43 inch) Full HD LED Smart Android TV with HDR 10 Dolby Audio and Eye Care Technology,Coocaa,16999,35999,52% off,4.3,639 Ratings & 146 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Domestic Warranty']
Vu Masterpiece Glo 2022 164 cm (65 inch) QLED Ultra HD (4K) Smart Android TV With 3 Years warranty,Vu,96900,120000,19% off,4.7,7 Ratings & 1 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '3 Years Warranty']
Compaq 140 cm (55 inch) Ultra HD (4K) LED Smart Android TV,Compaq,29999,48999,38% off,4.2,887 Ratings & 157 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
LG 108 cm (43 inch) Full HD LED Smart WebOS TV,LG,27540,40990,32% off,4.4,8037 Ratings & 691 Reviews,['Operating System: WebOS' 'Full HD 1920 x 1080 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']
KODAK CA Series 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,KODAK,48999,69999,30% off,4.5,19605 Ratings & 5819 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840X2160 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
MOTOROLA Revou 2 1.02 m (40 inch) Full HD LED Smart Android TV with Sound by boAt,MOTOROLA,18499,30000,38% off,4.3,2410 Ratings & 352 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product']
LG Nanocell 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,LG,57990,94990,38% off,4.4,615 Ratings & 88 Reviews,['Operating System: WebOS' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV with Bezel Less Display,Thomson,9999,15499,35% off,4.3,8057 Ratings & 1803 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product & 6 Months on Accessories']
Infinix X3 80 cm (32 inch) HD Ready LED Smart Android TV,Infinix,10499,17999,41% off,4.1,2426 Ratings & 414 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Domestic Warranty']
Hyundai 109 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV,Hyundai,25990,57990,55% off,4.4,29 Ratings & 10 Reviews,['Operating System: WebOS' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Remote']
TOSHIBA C350LP 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV,TOSHIBA,40990,54990,25% off,4.2,224 Ratings & 44 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Years Warranty on Product and Panel']
Blaupunkt 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic,Blaupunkt,62999,84999,25% off,4.7,641 Ratings & 170 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
KODAK 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,KODAK,40999,59999,31% off,4.7,370 Ratings & 95 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months Warranty on Accessories']
LG 109.22 cm (43 inch) Ultra HD (4K) LED Smart TV,LG,37152,64990,42% off,4.2,39 Ratings & 8 Reviews,['Ultra HD (4K) 3840 x 2160 Pixels' '1 Year LG India Comprehensive Warranty and Additional 1 Year Warranty is Applicable on Panel/Module']
LG 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV,LG,49990,79990,37% off,4.4,11059 Ratings & 1366 Reviews,['Operating System: WebOS' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']
Hisense A71F Series 177 cm (70 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and Dolby At...,Hisense,65990,119990,45% off,4.4,72 Ratings & 12 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Years Comprehensive Warranty']
Thomson 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Vision & Dolby Atmos,Thomson,59999,84999,29% off,4.6,1077 Ratings & 298 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months Warranty on Accessories']
Hyundai 98 cm (39 inch) HD Ready LED Smart Android Based TV,Hyundai,19490,34990,44% off,4.6,5 Ratings & 1 Reviews,['Operating System: Android Based' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product and 6 Months on Remote']
TCL S5205 79.97 cm (32 inch) HD Ready LED Smart Android TV,TCL,11990,29990,60% off,4.1,48 Ratings & 7 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '2 Year Product Warranty']
Nokia 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Sound by Onkyo,Nokia,28999,45999,36% off,4.3,16236 Ratings & 2773 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
HUIDI 80 cm (32 inch) HD Ready LED TV with Bezel Less Display,HUIDI,6999,17599,60% off,4,6383 Ratings & 750 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product']
PHILIPS Slim 80 cm (32 inch) HD Ready LED TV,PHILIPS,14440,19990,27% off,4.1,119 Ratings & 15 Reviews,['HD Ready 1366 x 768 Pixels' '2 Years Warranty']
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,SAMSUNG,32900,57720,43% off,5,4 Ratings & 0 Reviews,['Operating System: Tizen' 'Full HD 1920 x 1080 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
NOKIA 165 cm (65 inch) Ultra HD 4K LED Smart Android TV with Sound by Onkyo and Dolby Atmos,NOKIA,57999,79999,27% off,4.4,2228 Ratings & 360 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
OnePlus Y1 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio,OnePlus,24999,29999,16% off,4.3,137565 Ratings & 12704 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase']
TCL S5200 79.97 cm (32 inch) HD Ready LED Smart Android TV,TCL,13370,29990,55% off,4.3,167 Ratings & 23 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '2 Year Product Warranty']
LG 81.28 cm (32 inch) Full HD LED Smart TV,LG,16590,21990,24% off,4.6,19 Ratings & 1 Reviews,['Full HD 1366 x768 Pixels' '1 Year on Product']
SAMSUNG 7 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV,SAMSUNG,46280,69900,33% off,5,6 Ratings & 0 Reviews,['Netflix|Disney+Hotstar|Youtube' 'Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '20 W Speaker Output' '60 Hz Refresh Rate' '3 x HDMI | 1 x USB' '1 Year Comprehensive Warranty on Product.']
SAMSUNG 80 cm (32 inch) HD Ready LED Smart Tizen TV,SAMSUNG,19900,22900,13% off,4.4,143 Ratings & 14 Reviews,['Operating System: Tizen' 'HD Ready 1366 x 768 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel']
MOTOROLA Revou 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,MOTOROLA,48999,59999,18% off,4.5,1114 Ratings & 164 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 ï¿½ 2160 Pixels' '1 Year Warranty on Product']
BeethoSOL 60 cm (24 inch) HD Ready LED TV,BeethoSOL,5199,15000,65% off,4,334 Ratings & 28 Reviews,['HD Ready 1366 x 768 Pixels' '1 Year Warranty']
TOSHIBA M550LP Series 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Bass Woofer and REGZA E...,TOSHIBA,76990,114990,33% off,4.5,226 Ratings & 46 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Years Warranty on Product and Panel']
ONIDA 109 cm (43 inch) Ultra HD (4K) LED Smart VIDAA TV,ONIDA,26999,41990,35% off,4.4,881 Ratings & 169 Reviews,['Operating System: VIDAA' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product From Onida']
SAMSUNG Crystal 4K Pro 163 cm (65 inch) Ultra HD (4K) LED Smart Tizen TV with Voice Search,SAMSUNG,81990,125900,34% off,4.4,15280 Ratings & 1651 Reviews,['Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
MOTOROLA Revou 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,MOTOROLA,42999,48999,12% off,4.5,1114 Ratings & 164 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
MOTOROLA ZX3 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,MOTOROLA,44999,60999,26% off,4.4,1603 Ratings & 262 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840Ã—2160 Pixels' '1 Year Warranty on Product']
Nokia 102 cm (40 inch) Full HD LED Smart Android TV,Nokia,18999,29000,34% off,4.3,1604 Ratings & 277 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product']
SONY 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV,SONY,96500,164900,41% off,5,3 Ratings & 0 Reviews,"['Operating System: Android' 'Ultra HD (4K) 3840 Ã— 2160 Pixels' ""1 year Comprehensive warranty by the manufacture from the date of purchase | Contact Brand toll free number for assistance and provide product's model name and seller's details mentioned on your invoice. The service center will allot you a convenient slot for the service.""]"
Coocaa Frameless 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with HDR 12 Dolby Audio and Eye ca...,Coocaa,52999,99999,47% off,4.3,53 Ratings & 14 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
Vu cinema TV 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,Vu,35999,60000,40% off,4.3,729 Ratings & 95 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
TCL C815 Series 139 cm (55 inch) QLED Ultra HD (4K) Smart Android TV With Integrated 2.1 Onkyo Soundba...,TCL,49990,189990,73% off,4.4,175 Ratings & 31 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '2 Year Product Warranty']
Nokia 109 cm (43 inch) Full HD LED Smart Android TV with Sound by JBL and Powered by Harman AudioEFX,Nokia,23999,41999,42% off,4,5914 Ratings & 1061 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product']
Lloyd Clara 163 cm (65 inch) Ultra HD (4K) LED Smart Linux based TV,Lloyd,74999,153990,51% off,4.9,7 Ratings & 1 Reviews,['Operating System: Linux based' 'Ultra HD (4K) 3840 x 2160 Pixels' '3 Years  comprehensive Warranty']
SAMSUNG 9 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV,SAMSUNG,46890,62900,25% off,4.1,10 Ratings & 0 Reviews,['Netflix|Disney+Hotstar|Youtube' 'Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '20 w Speaker Output' '60 Hz Refresh Rate' '3 x HDMI | 2 x USB' '1 Year Comprehensive Warranty on Product.']
Coocaa 100 cm (40 inch) Full HD LED Smart Coolita TV with Dolby Audio and Eye Care Technology,Coocaa,15499,39999,61% off,4.2,18377 Ratings & 2836 Reviews,['Operating System: Coolita' 'Full HD 1920 x 1080 Pixels' '1 Year Domestic Warranty']
Mi 4X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,Mi,24999,28999,13% off,4.4,58139 Ratings & 6372 Reviews,['Operating System: Android' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year on TV 2 years on Panel 6 Months on Accessories']
SAMSUNG 80 cm (32 inch) HD Ready LED Linux based TV,SAMSUNG,13390,17900,25% off,4,100 Ratings & 3 Reviews,['Operating System: Linux based' 'HD Ready 1366 x 768 Pixels' '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']
Hyundai 80 cm (32 inch) HD Ready LED Smart Android Based TV,Hyundai,11990,23990,50% off,4.1,58 Ratings & 9 Reviews,['Operating System: Android Based' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product and 6 Months on Remote']
Coocaa Frameless 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with HDR 10 Dolby Audio and Eye ca...,Coocaa,22999,59999,61% off,4.3,53 Ratings & 14 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product']
LG UQ7500 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,LG,78999,114990,31% off,4.4,11059 Ratings & 1366 Reviews,['Operating System: WebOS' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year LG India Comprehensive Warranty and additional 1 year Warranty is applicable on Panel/Module from the date of purchase.']
SAMSUNG 6 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,SAMSUNG,74999,134900,44% off,4.3,209 Ratings & 34 Reviews,['Operating System: Tizen' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Comprehensive Warranty on Product.']
iFFALCON by TCL F52 108 cm (43 inch) Full HD LED Smart Android TV,iFFALCON,18999,44900,57% off,4.3,100 Ratings & 8 Reviews,['Operating System: Android' 'Full HD 1920 x 1080 Pixels' '1 Year Warranty on Product']
MOTOROLA Revou 2 80 cm (32 inch) HD Ready LED Smart Android TV,MOTOROLA,13999,20000,30% off,4.2,1598 Ratings & 240 Reviews,['Operating System: Android' 'HD Ready 1366 x 768 Pixels' '1 Year Warranty on Product']
Infinix X3 108 cm (43 inch) Full HD LED Smart Android TV,Infinix,17999,26999,33% off,3.9,564 Ratings & 120 Reviews,['Operating System: Android' 'Full HD 1920 X 1080 Pixels' '1 Year Domestic Warranty']
Blaupunkt 126 cm (50 Inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Far-Field Mic,Blaupunkt,35999,49999,28% off,4.7,641 Ratings & 170 Reviews,['Operating System: Google TV' 'Ultra HD (4K) 3840 x 2160 Pixels' '1 Year Warranty on Product and 6 Months on Accessories']
